Variant	Primer	Position	Amplicon_Size	GC%	Amplicon_Number	Dist_from_F	Dist_from_R	
CX1_AD	FRD23	15:48762884	546bp	45.42%	1	336	209
CX1_AD	CX1	15:48762884	564bp	44.62%	1	323	240
24AS15	FRD20	15:48776065	574bp	37.37%	1	345	228
24AS15	HX16	15:48776065	583bp	35.97%	1	270	312
24AS15	LX19	15:48776065	583bp	35.97%	1	270	312
HX15_RD_GS	-	-	-	-	-	-	-
LX15_NY	LX15	15:48707763	583bp	50.92%	1	135	447
LX16_SB	-	-	-	-	-	-	-
FUK27_MM	FUK27	15:48892343	413bp	36.97%	1	254	158
FUK26_SH	FUK26	15:48812913	442bp	53.66%	1	129	312
LX18_SP	-	-	-	-	-	-	-
test_R	FUK26	15:48812913	442bp	53.66%	1	129	312
test2_R	FUK27	15:48892343	413bp	36.97%	1	254	158
Near_F_primer	-	-	-	-	-	-	-
Big_Product	HZ5	2:189927400	552bp	31.74%	1	201	350
over_70_GC	WYN14	18:48556550	597bp	73.23%	1	137	459
more_one_amplicon	-	-	-	-	-	-	-
